,id,network_id,degree,definition
9280,8272,3,76.0,"{""vector"": [0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0], ""active_index"": 14}"
9281,8381,3,77.0,"{""vector"": [0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0], ""active_index"": 10}"
9339,8390,3,78.0,"{""vector"": [0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0], ""active_index"": 3}"
9349,8562,3,79.0,"{""vector"": [0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0], ""active_index"": 8}"
9345,8609,3,80.0,"{""vector"": [0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0], ""active_index"": 7}"
9771,8701,3,81.0,"{""vector"": [0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0], ""active_index"": 1}"
9955,8923,3,82.0,"{""vector"": [0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0], ""active_index"": 15}"
4480,8984,3,83.0,"{""vector"": [0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0], ""active_index"": 6}"
7849,9060,3,84.0,"{""vector"": [0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0], ""active_index"": 11}"
7852,9219,3,85.0,"{""vector"": [0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0], ""active_index"": 5}"
9089,9258,3,86.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0], ""active_index"": 13}"
9592,9385,3,87.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0], ""active_index"": 12}"
9593,9501,3,88.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0], ""active_index"": 9}"
10217,9623,3,89.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0], ""active_index"": 0}"
10220,9717,3,90.0,"{""vector"": [1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0], ""active_index"": 2}"
10413,9845,3,91.0,"{""vector"": [1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0], ""active_index"": 4}"
10688,9899,3,92.0,"{""vector"": [1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0], ""active_index"": 14}"
10693,10049,3,93.0,"{""vector"": [1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0], ""active_index"": 10}"
10728,10135,3,94.0,"{""vector"": [1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0], ""active_index"": 3}"
10927,10222,3,95.0,"{""vector"": [1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0], ""active_index"": 8}"
11093,10356,3,96.0,"{""vector"": [1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0], ""active_index"": 7}"
10976,10478,3,97.0,"{""vector"": [1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0], ""active_index"": 1}"
11398,10571,3,98.0,"{""vector"": [1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0], ""active_index"": 15}"
11596,10713,3,99.0,"{""vector"": [1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1], ""active_index"": 6}"
11518,10745,3,100.0,"{""vector"": [1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1], ""active_index"": 11}"
11747,10866,3,101.0,"{""vector"": [1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1], ""active_index"": 5}"
11705,10969,3,102.0,"{""vector"": [1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1], ""active_index"": 13}"
