,id,network_id,degree,definition
18583,21112,58,196.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 6}"
19697,21209,58,197.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 12}"
20555,21362,58,198.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 14}"
21098,21479,58,199.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 1}"
21518,21555,58,200.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 13}"
19776,21647,58,201.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 15}"
21770,21716,58,202.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 10}"
21775,21782,58,203.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 3}"
21768,21996,58,204.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 5}"
22238,22081,58,205.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 7}"
22245,22204,58,206.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 9}"
22325,22297,58,207.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 2}"
22328,22398,58,208.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 0}"
22492,22521,58,209.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 4}"
22737,22643,58,210.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 8}"
22741,22752,58,211.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 11}"
22982,22825,58,212.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 6}"
22985,22915,58,213.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 12}"
23196,22921,58,214.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 14}"
23094,23138,58,215.0,"{""vector"": [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 1}"
23410,23245,58,216.0,"{""vector"": [1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], ""active_index"": 13}"
23414,23374,58,217.0,"{""vector"": [1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 15}"
23567,23479,58,218.0,"{""vector"": [1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 10}"
23721,23553,58,219.0,"{""vector"": [1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 3}"
23722,23638,58,220.0,"{""vector"": [1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 5}"
23897,23675,58,221.0,"{""vector"": [1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 7}"
23899,23893,58,222.0,"{""vector"": [1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 9}"
23836,23906,58,223.0,"{""vector"": [1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 2}"
24130,24005,58,224.0,"{""vector"": [1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 0}"
24133,24144,58,225.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 4}"
24367,24288,58,226.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 8}"
24565,24404,58,227.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 11}"
24570,24498,58,228.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 6}"
24721,24631,58,229.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 12}"
24723,24731,58,230.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1], ""active_index"": 14}"
24805,24793,58,231.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1], ""active_index"": 1}"
24973,24888,58,232.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1], ""active_index"": 13}"
24971,24991,58,233.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1], ""active_index"": 15}"
25085,25106,58,234.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0], ""active_index"": 10}"
25175,25221,58,235.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0], ""active_index"": 3}"
25247,25318,58,236.0,"{""vector"": [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0], ""active_index"": 5}"
25377,25364,58,237.0,"{""vector"": [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0], ""active_index"": 7}"
25558,25600,58,238.0,"{""vector"": [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0], ""active_index"": 9}"
25675,25669,58,239.0,"{""vector"": [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0], ""active_index"": 2}"
26029,25781,58,240.0,"{""vector"": [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0], ""active_index"": 0}"
26080,25925,58,241.0,"{""vector"": [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0], ""active_index"": 4}"
26079,25963,58,242.0,"{""vector"": [0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0], ""active_index"": 8}"
409,127,59,1.0,"{""vector"": [1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0], ""active_index"": 4}"
25,303,59,2.0,"{""vector"": [1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0], ""active_index"": 13}"
455,350,59,3.0,"{""vector"": [1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0], ""active_index"": 15}"
731,567,59,4.0,"{""vector"": [1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1], ""active_index"": 0}"
480,630,59,5.0,"{""vector"": [1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1], ""active_index"": 9}"
888,781,59,6.0,"{""vector"": [1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1], ""active_index"": 8}"
991,825,59,7.0,"{""vector"": [1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1], ""active_index"": 5}"
1140,924,59,8.0,"{""vector"": [1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1], ""active_index"": 14}"
629,1065,59,9.0,"{""vector"": [1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1], ""active_index"": 1}"
1338,1198,59,10.0,"{""vector"": [1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1], ""active_index"": 11}"
1566,1286,59,11.0,"{""vector"": [1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1], ""active_index"": 6}"
1568,1398,59,12.0,"{""vector"": [1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1], ""active_index"": 3}"
1680,1437,59,13.0,"{""vector"": [1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1], ""active_index"": 7}"
1227,1619,59,14.0,"{""vector"": [1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1], ""active_index"": 2}"
1949,1710,59,15.0,"{""vector"": [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1], ""active_index"": 10}"
1951,1788,59,16.0,"{""vector"": [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1], ""active_index"": 12}"
2261,1906,59,17.0,"{""vector"": [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1], ""active_index"": 4}"
2119,2032,59,18.0,"{""vector"": [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1], ""active_index"": 13}"
2322,2137,59,19.0,"{""vector"": [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1], ""active_index"": 15}"
2646,2158,59,20.0,"{""vector"": [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1], ""active_index"": 0}"
2643,2347,59,21.0,"{""vector"": [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1], ""active_index"": 9}"
2806,2465,59,22.0,"{""vector"": [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1], ""active_index"": 8}"
2910,2526,59,23.0,"{""vector"": [1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1], ""active_index"": 5}"
2913,2681,59,24.0,"{""vector"": [1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1], ""active_index"": 14}"
3225,2762,59,25.0,"{""vector"": [1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1], ""active_index"": 1}"
3228,2889,59,26.0,"{""vector"": [1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1], ""active_index"": 11}"
3206,2946,59,27.0,"{""vector"": [1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 6}"
3469,3046,59,28.0,"{""vector"": [1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 3}"
2222,3185,59,29.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 7}"
2171,3268,59,30.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 2}"
3041,3418,59,31.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1], ""active_index"": 10}"
3978,3441,59,32.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1], ""active_index"": 12}"
4070,3575,59,33.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1], ""active_index"": 4}"
4073,3726,59,34.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1], ""active_index"": 13}"
4333,3845,59,35.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1], ""active_index"": 15}"
4318,3916,59,36.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1], ""active_index"": 0}"
3829,4021,59,37.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1], ""active_index"": 9}"
3832,4136,59,38.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1], ""active_index"": 8}"
4464,4238,59,39.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1], ""active_index"": 5}"
4848,4369,59,40.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1], ""active_index"": 14}"
4845,4467,59,41.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1], ""active_index"": 1}"
5042,4585,59,42.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1], ""active_index"": 11}"
5352,4680,59,43.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1], ""active_index"": 6}"
5355,4786,59,44.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1], ""active_index"": 3}"
5435,4880,59,45.0,"{""vector"": [1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1], ""active_index"": 7}"
5431,4922,59,46.0,"{""vector"": [1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1], ""active_index"": 2}"
5768,5105,59,47.0,"{""vector"": [1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1], ""active_index"": 10}"
6103,5227,59,48.0,"{""vector"": [1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1], ""active_index"": 12}"
4699,5264,59,49.0,"{""vector"": [1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1], ""active_index"": 4}"
4703,5472,59,50.0,"{""vector"": [1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1], ""active_index"": 13}"
5049,5535,59,51.0,"{""vector"": [1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1], ""active_index"": 15}"
6161,5674,59,52.0,"{""vector"": [1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1], ""active_index"": 0}"
6138,5798,59,53.0,"{""vector"": [0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1], ""active_index"": 9}"
6099,5843,59,54.0,"{""vector"": [0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 8}"
6353,5990,59,55.0,"{""vector"": [0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 5}"
6514,6031,59,56.0,"{""vector"": [0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 14}"
6877,6186,59,57.0,"{""vector"": [0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1], ""active_index"": 1}"
7016,6287,59,58.0,"{""vector"": [0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1], ""active_index"": 11}"
7021,6341,59,59.0,"{""vector"": [0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1], ""active_index"": 6}"
7074,6470,59,60.0,"{""vector"": [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1], ""active_index"": 3}"
7486,6621,59,61.0,"{""vector"": [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1], ""active_index"": 7}"
7625,6726,59,62.0,"{""vector"": [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1], ""active_index"": 2}"
7627,6807,59,63.0,"{""vector"": [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1], ""active_index"": 10}"
6346,6984,59,64.0,"{""vector"": [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1], ""active_index"": 12}"
6641,7092,59,65.0,"{""vector"": [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1], ""active_index"": 4}"
7428,7135,59,66.0,"{""vector"": [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1], ""active_index"": 13}"
6510,7232,59,67.0,"{""vector"": [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1], ""active_index"": 15}"
7875,7313,59,68.0,"{""vector"": [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1], ""active_index"": 0}"
7873,7466,59,69.0,"{""vector"": [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1], ""active_index"": 9}"
8082,7581,59,70.0,"{""vector"": [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1], ""active_index"": 8}"
8404,7649,59,71.0,"{""vector"": [0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1], ""active_index"": 5}"
8639,7794,59,72.0,"{""vector"": [0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1], ""active_index"": 14}"
8643,7915,59,73.0,"{""vector"": [0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1], ""active_index"": 1}"
8721,7946,59,74.0,"{""vector"": [0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1], ""active_index"": 11}"
9187,8129,59,75.0,"{""vector"": [0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1], ""active_index"": 6}"
9189,8275,59,76.0,"{""vector"": [0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1], ""active_index"": 3}"
9174,8366,59,77.0,"{""vector"": [0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1], ""active_index"": 7}"
9172,8455,59,78.0,"{""vector"": [0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1], ""active_index"": 2}"
9513,8587,59,79.0,"{""vector"": [0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1], ""active_index"": 10}"
9682,8689,59,80.0,"{""vector"": [0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1], ""active_index"": 12}"
9789,8756,59,81.0,"{""vector"": [0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1], ""active_index"": 4}"
9857,8853,59,82.0,"{""vector"": [0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1], ""active_index"": 13}"
5833,8963,59,83.0,"{""vector"": [0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1], ""active_index"": 15}"
7933,9106,59,84.0,"{""vector"": [0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1], ""active_index"": 0}"
7937,9220,59,85.0,"{""vector"": [0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1], ""active_index"": 9}"
8824,9265,59,86.0,"{""vector"": [0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1], ""active_index"": 8}"
9598,9336,59,87.0,"{""vector"": [0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1], ""active_index"": 5}"
7775,9471,59,88.0,"{""vector"": [0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1], ""active_index"": 14}"
7780,9607,59,89.0,"{""vector"": [0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1], ""active_index"": 1}"
10384,9730,59,90.0,"{""vector"": [0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1], ""active_index"": 11}"
10393,9809,59,91.0,"{""vector"": [0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1], ""active_index"": 6}"
10485,9937,59,92.0,"{""vector"": [0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1], ""active_index"": 3}"
10489,9994,59,93.0,"{""vector"": [0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1], ""active_index"": 7}"
10880,10129,59,94.0,"{""vector"": [0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1], ""active_index"": 2}"
10942,10274,59,95.0,"{""vector"": [0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1], ""active_index"": 10}"
10936,10294,59,96.0,"{""vector"": [0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1], ""active_index"": 12}"
11158,10412,59,97.0,"{""vector"": [0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1], ""active_index"": 4}"
11276,10504,59,98.0,"{""vector"": [0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1], ""active_index"": 13}"
11423,10703,59,99.0,"{""vector"": [0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1], ""active_index"": 15}"
11674,10808,59,100.0,"{""vector"": [0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1], ""active_index"": 0}"
11675,10851,59,101.0,"{""vector"": [0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1], ""active_index"": 9}"
12117,11010,59,102.0,"{""vector"": [0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1], ""active_index"": 8}"
12121,11092,59,103.0,"{""vector"": [0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1], ""active_index"": 5}"
12368,11159,59,104.0,"{""vector"": [0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1], ""active_index"": 14}"
12372,11356,59,105.0,"{""vector"": [0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1], ""active_index"": 1}"
12593,11421,59,106.0,"{""vector"": [0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1], ""active_index"": 11}"
12563,11574,59,107.0,"{""vector"": [0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1], ""active_index"": 6}"
12682,11661,59,108.0,"{""vector"": [0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1], ""active_index"": 3}"
6435,11766,59,109.0,"{""vector"": [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1], ""active_index"": 7}"
7524,11885,59,110.0,"{""vector"": [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1], ""active_index"": 2}"
10796,11923,59,111.0,"{""vector"": [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1], ""active_index"": 10}"
11269,12115,59,112.0,"{""vector"": [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1], ""active_index"": 12}"
11911,12174,59,113.0,"{""vector"": [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1], ""active_index"": 4}"
12374,12281,59,114.0,"{""vector"": [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1], ""active_index"": 13}"
11299,12364,59,115.0,"{""vector"": [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1], ""active_index"": 15}"
13034,12456,59,116.0,"{""vector"": [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1], ""active_index"": 0}"
13035,12564,59,117.0,"{""vector"": [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1], ""active_index"": 9}"
13209,12723,59,118.0,"{""vector"": [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1], ""active_index"": 8}"
13536,12778,59,119.0,"{""vector"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1], ""active_index"": 5}"
13541,12894,59,120.0,"{""vector"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1], ""active_index"": 14}"
13860,13031,59,121.0,"{""vector"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1], ""active_index"": 1}"
13861,13135,59,122.0,"{""vector"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1], ""active_index"": 11}"
14220,13276,59,123.0,"{""vector"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1], ""active_index"": 6}"
14222,13381,59,124.0,"{""vector"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1], ""active_index"": 3}"
14333,13464,59,125.0,"{""vector"": [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1], ""active_index"": 7}"
14342,13505,59,126.0,"{""vector"": [0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1], ""active_index"": 2}"
14637,13661,59,127.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1], ""active_index"": 10}"
14633,13802,59,128.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1], ""active_index"": 12}"
15024,13938,59,129.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1], ""active_index"": 4}"
15108,14021,59,130.0,"{""vector"": [0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1], ""active_index"": 13}"
